"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"sma-miR-124b-5p_MIMAT0033618_Schistosoma_mansoni_miR-124b-5p ",26.1743029241805,4.94325029309333,0.807231479413352,6.12370852619102,9.14220715219512e-10,2.36589239635595e-08
"gsa-miR-124a-3p_MIMAT0035275_Gyrodactylus_salaris_miR-124a-3p ",20.7276949927762,4.6002986680005,0.831321105410428,5.53372052996213,3.13508365825754e-08,4.78100257884275e-07
"gga-miR-124c-5p_MIMAT0025599_Gallus_gallus_miR-124c-5p ",30.6554594765588,4.37084028954817,0.648742829661977,6.73740053793822,1.61245242725704e-11,6.25924714944324e-10
"fhe-miR-124_MIMAT0045222_Fasciola_hepatica_miR-124 ",47.8286740008046,3.82638626998743,0.525529071561736,7.28101731578122,3.31312149279727e-13,1.76837859678054e-11
"sja-miR-124-3p_MIMAT0016263_Schistosoma_japonicum_miR-124-3p ",45.2462938535972,3.75522647493008,0.648980845446475,5.78634408284673,7.1934792502579e-09,1.3651625066045e-07
"sma-miR-124a-3p_MIMAT0025026_Schistosoma_mansoni_miR-124a-3p ",40.9220256706702,3.74074274339402,0.662417463991072,5.64710767263895,1.6316964495364e-08,2.84381381204916e-07
"cla-miR-1994_MIMAT0009714_Cerebratulus_lacteus_miR-1994 ",29.2777449877935,3.10653796480196,0.498932637064065,6.22636751743115,4.77373526409228e-10,1.35892330517827e-08
"lgi-miR-1994b_MIMAT0009725_Lottia_gigantea_miR-1994b ",26.6594730100217,3.09466207578525,0.529648828845465,5.84285644986893,5.13132334749852e-09,1.09553753469093e-07
"cte-miR-1994_MIMAT0009702_Capitella_teleta_miR-1994 ",36.9775161486317,2.84410756609055,0.438653778205748,6.48371838428926,8.9489189376543e-11,2.83050991583584e-09
"lva-miR-92a-3p_MIMAT0032201_Lytechinus_variegatus_miR-92a-3p ",119.604548849951,2.74119349548645,0.269854130986931,10.1580564487234,3.0509755887102e-24,4.34255525459752e-22
"spu-miR-92a_MIMAT0009662_Strongylocentrotus_purpuratus_miR-92a ",115.0860517539,2.70923373026504,0.314413801656087,8.61677736789832,6.88648487122363e-18,5.88105808002498e-16
"lgi-miR-1994a_MIMAT0009724_Lottia_gigantea_miR-1994a ",472.083299223848,2.58544715992288,0.155085101157223,16.6711511333496,2.12463144652907e-62,9.07217627667913e-60
"mle-miR-1994a-3p_MIMAT0048822_Melibe_leonina_miR-1994a-3p ",480.958693996747,2.52585013140552,0.170763180697477,14.791538322774,1.66113387928829e-49,4.72869444304067e-47
"efu-miR-92a_MIMAT0034995_Eptesicus_fuscus_miR-92a ",38.2993581048483,2.4680185018277,0.411709639259875,5.9945608906909,2.0403600566737e-09,4.70937159026848e-08
"tcf-miR-1175-3p_MIMAT0041418_Triops_cancriformis_miR-1175-3p ",35.7279855783898,2.28155571080677,0.407646857698102,5.59689267247206,2.18227708897542e-08,3.65424438036276e-07
"mle-miR-92b-3p_MIMAT0048738_Melibe_leonina_miR-92b-3p ",579.710214107957,1.94642601006226,0.208590345293989,9.33133317996552,1.04547474460585e-20,9.92039368770436e-19
"mle-miR-1994b-3p_MIMAT0048824_Melibe_leonina_miR-1994b-3p ",958.53049416564,1.91947551107925,0.111812318383314,17.1669413427143,4.69518169401369e-66,4.0096851666877e-63
"dvi-miR-92b-3p_MIMAT0008962_Drosophila_virilis_miR-92b-3p ",69.659699139166,1.89284040579668,0.318897809769545,5.93557041725861,2.92825606728406e-09,6.58087021436997e-08
"bdo-miR-92b_MIMAT0045385_Bactrocera_dorsalis_miR-92b ",77.319674129936,1.84290881197887,0.302279566651409,6.09670323533356,1.08278263322378e-09,2.71969520227385e-08
"dme-miR-92b-3p_MIMAT0000358_Drosophila_melanogaster_miR-92b-3p ",69.7188967658444,1.80092818965806,0.320360632637563,5.62156521801955,1.8923503258529e-08,3.23213435655675e-07
"dya-miR-92b_MIMAT0009120_Drosophila_yakuba_miR-92b ",70.3542804594573,1.73842395972564,0.285622740491981,6.08643400287817,1.15453216286797e-09,2.81705847739784e-08
"bmo-miR-92b_MIMAT0009155_Bombyx_mori_miR-92b ",89.4144890445445,1.69940102876365,0.261779321378541,6.49173135530543,8.48554739019462e-11,2.78717595047162e-09
"hsa-miR-10395-3p_MIMAT0041622_Homo_sapiens_miR-10395-3p ",196.205906221254,1.65947048451991,0.267281363883156,6.20870254630009,5.34238340591953e-10,1.47174046085654e-08
"dan-miR-92b_MIMAT0008405_Drosophila_ananassae_miR-92b ",73.4005129121082,1.65466191238745,0.298090647044314,5.55086826371132,2.84254235051546e-08,4.48483711874363e-07
"mse-miR-92b_MIMAT0024487_Manduca_sexta_miR-92b ",81.6039445806033,1.5556289752309,0.267894638088972,5.80686864928686,6.36520321352559e-09,1.24243634204878e-07
"mle-miR-92a-3p_MIMAT0048736_Melibe_leonina_miR-92a-3p ",1393.62645470132,1.50381648484772,0.14036053485488,10.7139552182708,8.75400431058056e-27,1.49518393624716e-24
"ame-miR-750-3p_MIMAT0018615_Apis_mellifera_miR-750-3p ",255.096794482835,1.44986473348817,0.235786188938606,6.14906555814296,7.79407611390587e-10,2.08004406289863e-08
"isc-miR-750_MIMAT0012704_Ixodes_scapularis_miR-750 ",538.797176574378,1.39027229941397,0.192577431031237,7.21928988235625,5.22597477919054e-13,2.5895470655135e-11
"dqu-miR-750-3p_MIMAT0045744_Dinoponera_quadriceps_miR-750-3p ",524.828947557429,1.37542129694856,0.184894783988915,7.43894050051201,1.01496022373263e-13,6.19125736476905e-12
"mle-miR-750-3p_MIMAT0048796_Melibe_leonina_miR-750-3p ",544.495465159138,1.35023707196804,0.188728561302943,7.15438650433345,8.404795038552e-13,3.77773419101232e-11
"cte-miR-750_MIMAT0009547_Capitella_teleta_miR-750 ",793.444217330573,1.30338567418292,0.177658560543196,7.33646422777367,2.19310394597646e-13,1.24860717990927e-11
"pca-miR-750-3p_MIMAT0045910_Polistes_canadensis_miR-750-3p ",524.426511435897,1.26990720832555,0.191492530044794,6.63162791795842,3.32004637423417e-11,1.18138316816499e-09
"cte-miR-981_MIMAT0009548_Capitella_teleta_miR-981 ",1690.41036421148,1.19653336253272,0.125472614312228,9.53621130070057,1.481458501201e-21,1.80737937146523e-19
"lgi-miR-745a_MIMAT0009598_Lottia_gigantea_miR-745a ",2222.73620101482,1.19319520885865,0.107148458399524,11.1359064486918,8.38871965071462e-29,1.79099164542757e-26
"api-miR-184b_MIMAT0014715_Acyrthosiphon_pisum_miR-184b ",3060.66301321735,0.997316355878961,0.130976756778698,7.61445297934849,2.64810560220431e-14,1.73960168021729e-12
"hru-miR-1985_MIMAT0009716_Haliotis_rufescens_miR-1985 ",4767.52999974938,0.982482969904674,0.157529262314063,6.23682835475936,4.4653147497123e-10,1.31495820560493e-08
"lgi-miR-1985_MIMAT0009727_Lottia_gigantea_miR-1985 ",6260.10136764196,0.887888890922497,0.153961616351726,5.76694965902482,8.07191502630756e-09,1.46668413456737e-07
"cpo-miR-184-3p_MIMAT0047053_Cavia_porcellus_miR-184-3p ",627.74779639315,0.787558237480142,0.125640220042897,6.26836085778301,3.64868448480562e-10,1.11284876786571e-08
"pal-miR-184-3p_MIMAT0040165_Pteropus_alecto_miR-184-3p ",681.443769523816,0.770124059191064,0.126767474323988,6.07509192162974,1.23916717372816e-09,2.93957990656624e-08
"mdo-miR-184-3p_MIMAT0004119_Monodelphis_domestica_miR-184-3p ",655.683464965001,0.749529606324099,0.134894793546619,5.5564013007297,2.75393324123709e-08,4.43746978871032e-07
"gga-miR-184-3p_MIMAT0001158_Gallus_gallus_miR-184-3p ",682.441316062085,0.7401371651543,0.129660396703658,5.70827472359123,1.14127104054935e-08,2.03051139297739e-07
"ami-miR-184-3p_MIMAT0038199_Alligator_mississippiensis_miR-184-3p ",801.428083362245,0.739166270693602,0.126841452180909,5.82748193105956,5.6269940183386e-09,1.14415545039551e-07
"oga-miR-184_MIMAT0049718_Otolemur_garnettii_miR-184 ",792.458854686282,0.73827406386944,0.124807899246148,5.91528315378021,3.31305130495339e-09,7.25473285751332e-08
"ppy-miR-184_MIMAT0002302_Pongo_pygmaeus_miR-184 ",629.711888564743,0.717532991593042,0.122991354256338,5.83401163383859,5.41103460028697e-09,1.12707891430368e-07
"cli-miR-184-3p_MIMAT0038561_Columba_livia_miR-184-3p ",624.938330227005,0.687001783452312,0.122834768303712,5.59289355073867,2.23316217572405e-08,3.66753941936219e-07
"mle-miR-2a-3p_MIMAT0048681_Melibe_leonina_miR-2a-3p ",4976.51026689766,-0.47378167540174,0.0853957253725481,-5.54807249818204,2.888361142048e-08,4.48483711874363e-07
"bbe-miR-184-3p_MIMAT0031602_Branchiostoma_belcheri_miR-184-3p ",1722.40761869836,-0.601807052357686,0.104125983680246,-5.77960496590108,7.48762270810026e-09,1.39009343319948e-07
"nbr-miR-184a_MIMAT0042477_Neolamprologus_brichardi_miR-184a ",1605.45745371806,-0.665555105008677,0.101981455976967,-6.5262365459755,6.74427811818782e-11,2.30384540517296e-09
"mle-miR-745b-3p_MIMAT0048717_Melibe_leonina_miR-745b-3p ",42811.054314099,-0.766046937634877,0.106198085749918,-7.2133780211332,5.45806173059052e-13,2.5895470655135e-11
"mle-miR-745a-3p_MIMAT0048715_Melibe_leonina_miR-745a-3p ",22036.4069157756,-0.791649212782642,0.0964213872262632,-8.21030723116388,2.20623242478318e-16,1.71283862796803e-14
"mle-miR-981-3p_MIMAT0048732_Melibe_leonina_miR-981-3p ",79639.4770164709,-0.859980162837012,0.0908332398280878,-9.46768126364997,2.86124393813413e-21,3.05437790395818e-19
"mle-miR-2c-3p_MIMAT0048685_Melibe_leonina_miR-2c-3p ",1479.87257428369,-0.911891278656139,0.132700214946602,-6.87181463137102,6.33902942913597e-12,2.57787196784863e-10
"bdo-miR-2a_MIMAT0045403_Bactrocera_dorsalis_miR-2a ",416.910012129283,-1.15262496230617,0.173351948558033,-6.64904532019321,2.95000162219199e-11,1.09534842841389e-09
"cte-miR-190_MIMAT0009532_Capitella_teleta_miR-190 ",3107.07088938391,-1.28815894041968,0.22186986776319,-5.80592107169132,6.40131136418576e-09,1.24243634204878e-07
"aae-miR-2b_MIMAT0014306_Aedes_aegypti_miR-2b ",401.423223671285,-1.31650394103737,0.161278951321427,-8.16289993362865,3.27075456967627e-16,2.32768700208628e-14
"cla-miR-1992_MIMAT0009713_Cerebratulus_lacteus_miR-1992 ",316.552332875797,-1.37000188723786,0.194124499327997,-7.05733635878219,1.69724451700866e-12,7.24723408762699e-11
